v1/fleet/drivers/.driver_id/safety/score,driver_safety_score_api_used
v1/fleet/vehicles/.vehicle_id/safety/harsh_event,harsh_events_api_used
fleet/safety-events/audit-logs/feed,safety_event_activity_feed_api_used
fleet/safety-events,safety_events_api_used
fleet/settings/safety,safety_settings_api_used
v1/fleet/vehicles/.vehicle_id/safety/score,vehicle_safety_score_api_used
fleet/hos/clocks,compliance_api_used
fleet/hos/daily-logs,compliance_api_used
fleet/hos/diagnostic-and-malfunction-events,compliance_api_used
fleet/hos/drivers/eld-events,compliance_api_used
fleet/hos/logs,compliance_api_used
fleet/hos/violations,compliance_api_used
fleet/settings/compliance,compliance_api_used
v1/fleet/dispatch/routes,compliance_api_used
v1/fleet/drivers/.driver_id/hos/duty_status,compliance_api_used
v1/fleet/drivers/summary,compliance_api_used
v1/fleet/hos_logs,compliance_api_used
v1/fleet/hos_logs_summary,compliance_api_used
fleet/drivers/tachograph-files/history,compliance_tachograph_api_used
fleet/vehicles/tachograph-files/history,compliance_tachograph_api_used
fleet/routes,dispatch_routing_api_used
fleet/routes/.id,dispatch_routing_api_used
fleet/routes/audit-logs/feed,dispatch_routing_api_used
v1/fleet/dispatch/routes/.route_external_id,dispatch_routing_api_used
v1/fleet/dispatch/routes/.route_external_id/history,dispatch_routing_api_used
v1/fleet/dispatch/routes/.route_id,dispatch_routing_api_used
v1/fleet/dispatch/routes/.route_id/history,dispatch_routing_api_used
v1/fleet/dispatch/routes/job_updates,dispatch_routing_api_used
v1/fleet/drivers/.driver_id/dispatch/routes,dispatch_routing_api_used
v1/fleet/vehicles/.vehicle_id/dispatch/routes,dispatch_routing_api_used
defect-types,dvir_api_used
defects/stream,dvir_api_used
dvirs/stream,dvir_api_used
fleet/defects/.id,dvir_api_used
fleet/defects/history,dvir_api_used
fleet/dvirs,dvir_api_used
fleet/dvirs/.id,dvir_api_used
fleet/dvirs/history,dvir_api_used
v1/fleet/maintenance/dvirs,dvir_api_used
fleet/drivers/efficiency,efficiency_api_used
fleet/colocation-summaries,fleet_reports_api_used
fleet/reports/vehicle/idling,idling_api_used
fleet/reports/ifta/jurisdiction,ifta_api_used
fleet/reports/ifta/vehicle,ifta_api_used
ifta-detail/csv,ifta_api_used
ifta-detail/csv/.id,ifta_api_used
v1/fleet/maintenance/list,maintenance_api_used
fleet/reports/drivers/fuel-energy,sustainability_api_used
fleet/reports/vehicles/fuel-energy,sustainability_api_used
fleet/driver-vehicle-assignments,telematics_platform_api_used
fleet/drivers/vehicle-assignments,telematics_platform_api_used
fleet/vehicles,telematics_platform_api_used
fleet/vehicles/.id,telematics_platform_api_used
fleet/vehicles/driver-assignments,telematics_platform_api_used
v1/fleet/list,telematics_platform_api_used
v1/fleet/set_data,telematics_platform_api_used
v1/fleet/trips,telematics_platform_api_used
v1/fleet/vehicles/.external_vehicle_id,telematics_platform_api_used
v1/fleet/vehicles/.vehicle_id,telematics_platform_api_used
v1/fleet/vehicles/stats,telematics_platform_api_used
