17921,"MLTK8, MLTMM",3G Telecom,Malta,278 77
19175,IDN89,3 Hutchison,Indonesia,510 89
17911,"IRLDF, IRLH3, IRLK6, IRLK8",3 Ireland (Hutchison),Ireland,"272 05, 272 02"
84402,MACHT,3 Macau (Hutchison - T-Systems),Macau,"455 03, 455 05"
196002,"NGAEM, NGAK6",9 Mobile (EMTS Etisalat),Nigeria,621 60
13275,BGR01, A1 Bulgaria EAD (Mobitel),Bulgaria,284 01
13925,"MKDK9, MKDNO", A1 Makedonija DOOEL Skopje (Vip/Mobilkom),Macedonia,294 03
1404,"A00PT, AUTMK, AUTON, AUTPT, AAZA1",A1 (Mobilkom Austria),Austria,"232 09, 232 08, 232 01, 232 12, 232 22, 232 15, 232 11, 232 20, 901 76"
13357,SVNSM,A1 Slovenija (SiMobil),Slovenia,293 40
13923,HRVVI,A1 (VipNet),Croatia,219 10
89802,CAFAT,A-Cell,Central African Republic,623 01
151702,USAAC,Advantage Cellular,United States,310 880
19161,NORAM,AeroMobile,Norway,901 14
155601,AFGAT,Afghan Telecom,Afghanistan,412 80
18759,"GMBAC, GMBK8 ",Africell,Gambia,607 02
141601,BDI02,Africell Burundi,Burundi,642 02
596502,"CODAC, CODK9",Africell RDC,"Congo, The Democratic Republic of the",630 90
132101,"SLEAC, SLEK9",Africell Sierra Leone,Sierra Leone,619 05
176301,"CGEUR, CGMVN, NLDMS",AGMS,Netherlands,204 65
11987,USAAE,Airadigm Communications,United States,310 640
139,"IND01, IND02, IND03, IND04, IND05, IND06, IND08, IND09, IND17, IND18, IND19, IND20, IND21, IND22, IND23, IND24, IND25, IND26, IND27, IND28, IND29, INDAC, INDRC",Aircel Cellular,India,"404 33, 404 29, 404 41, 404 91, 404 17, 404 42, 404 25, 404 37, 404 28, 404 35, 405 806, 405 802, 405 812, 405 807, 405 804, 405 801, 405 803, 405 809, 405 805, 405 808, 405 810, 405 800, 405 811"
323802,"RWAAR, RWAK8",Airtel,Rwanda,635 14
18375,"IND10, IND11, IND12, IND13, IND14, IND15, IND16, INDA1, INDA2, INDA3, INDA4, INDA5, INDA6, INDA7, INDA8, INDA9, INDAT, INDBL, INDH1, INDJB, INDJH, INDMT, INDSC",Airtel (Bharti),India,"404 31, 404 97, 404 02, 404 45, 404 10, 404 40, 404 49, 404 92, 404 94, 404 95, 404 70, 404 96, 404 03, 404 93, 404 90, 404 98, 404 16, 405 56, 405 52, 405 54, 405 55, 405 53, 405 51"
18811,"CODCT, CODK7",Airtel Congo (Celtel),"Congo, The Democratic Republic of the",630 02
191302,"COGCT, COGK9, COGWC",Airtel Congo (Warid),Congo,"629 01, 629 07"
87802,GBRAJ,Airtel Jersey (Vodafone),Jersey,"234 28, 234 03"
19019,"MDGCO, MDGK7",Airtel Madagsacar (Zain),Madagascar,646 01
14249,"NGAET, NGAK9, NGAVM",Airtel Nigeria (Celtel - Zain),Nigeria,621 20
19179,"SYCAT, SYCK8",Airtel (Seychelles),Seychelles,633 10
136102,"GHAK7, GHAK8, GHAMT, GHAZN",Airteltigo Ghana,Ghana,"620 06, 620 03"
18641,BGDWT,Airtel (Warid),Bangladesh,470 07
18943,"KENK7, KENKC, KENKE",Airtel (Zain),Kenya,639 03
18809,"GABCT, GABK7",Airtel (Zain) Gabon,Gabon,628 03
18715,THAAS,AIS,Thailand,520 01
16766,"FINAM, FINK4",Alands Mobiltelefon,Finland,244 14
153902,"USACS, USAGC, USAKV",Alaska Wireless Network (GCI),United States,311 370
177702,"ECUAL, ECUK9",Alegro (Telecsa),Ecuador,740 02
18471,LBNFL,Alfa (MIC 1),Lebanon,415 01
90302,"KGZK7, KGZMC",Alfa Telecom,Kyrgyzstan,437 05
153701,"BRAC3, BRAC4, BRACT",Algar Telecom (CTBC),Brazil,"724 32, 724 34, 724 33"
18545,"SAUAJ, SAUVG",Al Jawal,Saudi Arabia,"420 05, 420 01"
84202,LBY01,Al Madar,Libya,606 01
12193,LIETG,AlpCom (Tango Tele2),Liechtenstein,295 77
498302,"KAZAL, KAZK7",Altel,Kazakhstan,401 07
18325,DOM01,Altice Dominicana (Orange),Dominican Republic,"370 03, 370 01"
19109,BRAAC,Amazônia Celular,Brazil,724 24
145,"ESPK5, ESPOR, ESPRT",Amena (Orange),Spain,214 03
90002,,A-Mobile,Georgia,289 88
85202,PRYHT,AMX Paraguay (Claro),Paraguay,744 02
17619,ANDMA,Andorra Telecom (Mobiland),Andorra,213 03
19155,"URYAN, URYK9",Antel,Uruguay,748 01
90102,"ATG03, ATGK8",APUA (Antigua Public Utilities Authority),Antigua and Barbuda,344 03
18465,AFGAR,Areeba (MTN) Afghanistan,Afghanistan,412 40
18537,IRQAC,Asiacell,Iraq,418 05
168301,TWNGT,Asia Pacific,Taiwan,466 05
166001,USAAP,Aspenta,United States,"312 210, 724 17"
153702,USAAS,ASTAC (Arctic Slope),United States,"310 710, 311 561"
182501,"KIRK9, KIRKL",Athkl,Kiribati,545 01
1594501,"MEXAL, MEXK7",Atlan Redes,Mexico,334 140
136202,"CIV02, CIVK9",Atlantique Telecom (Moov),Ivory Coast,612 02
131,"ATTCM, ATTTO, CG001, CG002, CG003, CG004, CG005, CG006, CG007, CG008, CG009, CG010, CG011, CG012, CG013, CG014, CG015, CG016, CG017, CG018, CG019, CG020, CG021, CG022, CG023, CG024, CG028, CG031, CG032, CG033, CG034, CG035, CG038, CG039, CG040, CG041, CG042, CG043, CG061, CG901, CG902, CG903, CG904, CG905, CG906, CG907, CG908, CG909, CG910, CG911, CG912, CG913, CG914, CG915, CG916, CG917, CG918, CG920, CG921, CG922, CG923, CG924, CG925, CG926, CG927, CG928, CG931, CG932, CG933, CG934, CGALH, CGARK, CGAUS, CGBOS, CGCEN, CGCIP, CGCOR, CGDLS, CGDOB, CGEOD, CGFLP, CGGAC, CGGLF, CGGLR, CGGPL, CGHCL, CGILL, CGIND, CGJAS, CGLAR, CGMNY, CGMTZ, CGMWR, CGNBI, CGNCA, CGNWS, CGNYR, CGOKC, CGOSU, CGPAC, CGPHI, CGPIO, CGRGV, CGRRN, CGSAN, CGSNE, CGSTL, CGSTR, CGTIM, CGTNK, CGTUL, CGVOL, CGWAS, CGWTX, CGZIG, PRIAT, USA11, USA3G, USA88, USAAT, USABS, USACC, USACG, USACN, USADC, USAEC, USAEU, USAHL, USAMF, USAPB, USAPL",AT&T,United States,"310 560, 310 680, 310 070, 310 170, 310 280, 310 150, 310 410, 310 380, 310 030, 311 160, 313 100"
18255,"AAZAT, MEXAT, MEXIU, MEXK8, MEXK9, MEXN3, MEXNC",AT&T Mexico (Nextel-Iusacell),Mexico,"334 090, 334 040, 334 050, 334 070, 901 44"
88002,USAAW,AWC (Alaska Wireless),United States,310 190
18461,"AFGAW, AFGK8",AWCC (Afghan Wireless Communication),Afghanistan,412 01
145601,"THAK9, THAWN",AWN,Thailand,520 03
18639,"BGDAK, BGDK9",Axiata (Aktel),Bangladesh,470 02
18699,IDNLT,Axis,Indonesia,510 08
18335,"AZEAC, AZENT",Azercell,Azerbaidjan,"400 06, 400 01"
18339,"AZEAF, AZEK9",Azerfon,Azerbaidjan,"400 04, 901 36"
