1,OBD-II (CARB)
2,OBD (EPA)
3,OBD and OBD-II
4,OBD-I
5,Not OBD compliant
6,Reserved
7,Reserved
8,Reserved
9,Reserved
10,EOBD (Europe)
11,EOBD and OBD-II
12,EOBD and OBD
13,"EOBD, OBD and OBD-II"
14,Reserved
15,Reserved
16,JOBD (Japan)
17,JOBD and OBD-II
18,JOBD and EOBD
19,"JOBD, EOBD and OBD-II"
20,Reserved
21,Engine Manufacturer Diagnostics (EMD)
22,EMD+ OBD
23,HD OBD-C (Compression Ignition)
24,HD OBD (Spark Ignition)
25,HD EOBD-C
26,HD EOBD
27,Reserved
28,OBD-II (California ARB)
29,OBD (Mexico)
30,EOBD (Mexico)
31,HD OBD (Mexico)
32,HD OBD (U.S. — HDV EPA compliant)
