data_identifier,bit_start,bit_length,endian,scale,sign,offset,minimum,maximum,internal_scaling,obd_value,comment
346,7,8,2,0.39215686,2,0,0,100.0,10,7,
326,7,8,2,1,2,-40,-39.5,214.5,1000,16,
307,7,8,2,1,2,0,0,254.5,1000,17,
261,7,8,2,1,2,-40,-39.5,214.5,1000,19,
322,7,16,2,0.001,2,0,0,65.5345,1000,18,
287,7,16,2,1,2,0,0.5,65534.5,1,52,
260,7,8,2,0.39215686,2,0,0,100.0,1,20,
323,7,16,2,0.39215686,2,0,0,100.0,1,383,
303,7,8,2,0.39215686,2,0,1.1764706,100.0,1000,660,
303,7,8,2,0.39215686,2,0,1.1764706,100.0,100,5,
388,7,8,2,1,2,-40,-39.5,214.5,1000,21,
268,7,16,2,0.25,2,0,0,16383.625,1,22,
350,7,16,2,0.05,2,0,0,3276.725,1000,4,
272,7,16,2,0.01,2,0,0,655.345,1000,289,
337,7,8,2,1,2,0,0,254.5,1,29,
286,0,1,2,1,2,0,0,1.5,1,33,
269,7,8,2,1,2,0,0,254.5,1,34,
389,47,8,2,0.39215686,2,0,0,100,1000,83,
324,7,16,2,0.0000305,2,0,0,1.99880225,1000,125,
267,7,8,2,1,2,0,0,254.5,1,113,
271,7,8,2,1,2,-40,-39.5,214.5,1000000,98,
262,7,8,2,0.78125,2,-100,-100,100,1000,126,
263,7,8,2,0.78125,2,-100,-100,100,1000,127,
383,15,32,2,1,2,0,0,4294967294.5,1,157,
289,7,16,2,1,2,0,0,65534.5,1,171,
333,7,16,2,1,2,0,0,65534.5,1,172,
334,7,16,2,1,2,0,0,65534.5,1,173,
304,7,8,2,1,2,0,0,254.5,1,174,
305,7,16,2,1,2,0,0,65534.5,1,175,
413,23,16,2,0.02,2,0,0,1310.69,1000,288,
422,7,32,2,0.1,2,0,0.1,429496729.45,1000,1,
2290778,7,8,2,0.39215686,2,0,0,100.0,10,7,
2290758,7,8,2,1,2,-40,-39.5,214.5,1000,16,
2290739,7,8,2,1,2,0,0,254.5,1000,17,
2290693,7,8,2,1,2,-40,-39.5,214.5,1000,19,
2290754,7,16,2,0.001,2,0,0,65.5345,1000,18,
2290719,7,16,2,1,2,0,0.5,65534.5,1,52,
2290692,7,8,2,0.39215686,2,0,0,100.0,1,20,
2290755,7,16,2,0.39215686,2,0,0,100.0,1,383,
2290735,7,8,2,0.39215686,2,0,1.1764706,100.0,1000,660,
2290735,7,8,2,0.39215686,2,0,1.1764706,100.0,100,5,
2290820,7,8,2,1,2,-40,-39.5,214.5,1000,21,
2290700,7,16,2,0.25,2,0,0,16383.625,1,22,
2290782,7,16,2,0.05,2,0,0,3276.725,1000,4,
2290704,7,16,2,0.01,2,0,0,655.345,1000,289,
2290769,7,8,2,1,2,0,0,254.5,1,29,
2290718,0,1,2,1,2,0,0,1.5,1,33,
2290701,7,8,2,1,2,0,0,254.5,1,34,
2290821,47,8,2,0.39215686,2,0,0,100,1000,83,
2290756,7,16,2,0.0000305,2,0,0,1.99880225,1000,125,
2290699,7,8,2,1,2,0,0,254.5,1,113,
2290703,7,8,2,1,2,-40,-39.5,214.5,1000000,98,
2290694,7,8,2,0.78125,2,-100,-100,100,1000,126,
2290695,7,8,2,0.78125,2,-100,-100,100,1000,127,
2290815,15,32,2,1,2,0,0,4294967294.5,1,157,
2290721,7,16,2,1,2,0,0,65534.5,1,171,
2290765,7,16,2,1,2,0,0,65534.5,1,172,
2290766,7,16,2,1,2,0,0,65534.5,1,173,
2290736,7,8,2,1,2,0,0,254.5,1,174,
2290737,7,16,2,1,2,0,0,65534.5,1,175,
2290845,23,16,2,0.02,2,0,0,1310.69,1000,288,
2290854,7,32,2,0.1,2,0,0.1,429496729.45,1000,1,
