CANBUS_CAN1_CAT_14PIN_PINS_C_D,BUS_CAN1_CAT_14PIN_PINS_C_D
CANBUS_CAN1_CAT_9PIN_PINS_F_G,BUS_CAN1_CAT_9PIN_PINS_F_G
CANBUS_CAN1_COPEN_FLYING_LEADS,BUS_CAN1_COPEN_FLYING_LEADS
CANBUS_CAN1_DJ1939_JOE_9PIN_PINS_C_D,BUS_CAN1_DJ1939_JOE_9PIN_PINS_C_D
CANBUS_CAN1_DJ1939_VM_PINS_6_14,BUS_CAN1_DJ1939_VM_PINS_6_14
CANBUS_CAN1_DJ1939_VOE_PINS_6_14,BUS_CAN1_DJ1939_VOE_PINS_6_14
CANBUS_CAN1_J1939_250K_MANUAL_OVERRIDE,BUS_CAN1_J1939_250K_MANUAL_OVERRIDE
CANBUS_CAN1_J1939_500K_MANUAL_OVERRIDE,BUS_CAN1_J1939_500K_MANUAL_OVERRIDE
CANBUS_CAN1_J1939_9PIN_PINS_C_D,BUS_CAN1_J1939_9PIN_PINS_C_D
CANBUS_CAN1_J1939_DFMS_PINS_6_9,BUS_CAN1_J1939_DFMS_PINS_6_9
CANBUS_CAN1_J1939_DHGV_PINS_A4_A8,BUS_CAN1_J1939_DHGV_PINS_A4_A8
CANBUS_CAN1_J1939_DUCKBILL,BUS_INVALID
CANBUS_CAN1_J1939_FMS_PINS_6_9,BUS_CAN1_J1939_FMS_PINS_6_9
CANBUS_CAN1_J1939_HGV_PINS_A4_A8,BUS_CAN1_J1939_HGV_PINS_A4_A8
CANBUS_CAN1_J1939_IZU_PINS_6_15,BUS_CAN1_J1939_IZU_PINS_6_15
CANBUS_CAN1_J1939_MULTIPLE_CABLE_IDS,BUS_CAN1_J1939_MULTIPLE_CABLE_IDS
CANBUS_CAN1_J1939_PACCAR_PINS_F_G,BUS_CAN1_J1939_PACCAR_PINS_F_G
CANBUS_CAN1_J1939_RP1226_PINS_2_9,BUS_CAN1_J1939_RP1226_PINS_2_9
CANBUS_CAN1_J1939_TYPE_1_CABLES,BUS_CAN1_J1939_TYPE_1_CABLES
CANBUS_CAN1_J1939_VM_PINS_3_11,BUS_CAN1_J1939_VM_PINS_3_11
CANBUS_CAN1_KOMATSU_12PIN_PINS_3_10,BUS_CAN1_KOMATSU_12PIN_PINS_3_10
CANBUS_CAN1_PASSENGER_DUCKBILL,BUS_INVALID
CANBUS_CAN2_CAT_14PIN_PINS_H_J,BUS_CAN2_CAT_14PIN_PINS_H_J
CANBUS_CAN2_CAT_9PIN_PINS_D_E,BUS_CAN2_CAT_9PIN_PINS_D_E
CANBUS_CAN2_COPEN_FLYING_LEADS,BUS_CAN2_COPEN_FLYING_LEADS
CANBUS_CAN2_DJ1939_JOE_9PIN_PINS_H_J,BUS_CAN2_DJ1939_JOE_9PIN_PINS_H_J
CANBUS_CAN2_DJ1939_VM_PINS_3_11,BUS_CAN2_DJ1939_VM_PINS_3_11
CANBUS_CAN2_DJ1939_VOE_PINS_3_11,BUS_CAN2_DJ1939_VOE_PINS_3_11
CANBUS_CAN2_J1939_9PIN_PINS_H_J,BUS_CAN2_J1939_9PIN_PINS_H_J
CANBUS_CAN2_J1939_DFMS_PINS_5_8,BUS_CAN2_J1939_DFMS_PINS_5_8
CANBUS_CAN2_J1939_DHGV_PINS_C5_C7,BUS_CAN2_J1939_DHGV_PINS_C5_C7
CANBUS_CAN2_J1939_FMS_PINS_5_8,BUS_CAN2_J1939_FMS_PINS_5_8
CANBUS_CAN2_J1939_HGV_PINS_C5_C7,BUS_CAN2_J1939_HGV_PINS_C5_C7
CANBUS_CAN2_J1939_IZU_PINS_9_18,BUS_CAN2_J1939_IZU_PINS_9_18
CANBUS_CAN2_J1939_RP1226_PINS_4_11,BUS_CAN2_J1939_RP1226_PINS_4_11
CANBUS_CAN3_DJ1939_JOE_9PIN_PINS_F_G,BUS_CAN3_DJ1939_JOE_9PIN_PINS_F_G
CANBUS_CAN3_J1939_9PIN_PINS_F_G,BUS_CAN3_J1939_9PIN_PINS_F_G
CANBUS_CARRIER,BUS_INVALID
CANBUS_CARRIER_COMMS,BUS_INVALID
