OBD_VALUE_ODOMETER_HIGH_RES_METERS,OBD_VALUE_ODOMETER_HIGH_RES_METERS
OBD_VALUE_ODOMETER_LOW_RES_METERS,OBD_VALUE_ODOMETER_LOW_RES_METERS
OBD_VALUE_FUEL_RATE_ML_PER_HOUR,OBD_VALUE_FUEL_RATE_ML_PER_HOUR
OBD_VALUE_FUEL_RATE_ML_PER_HOUR,OBD_VALUE_METHOD_FUEL_RATE
OBD_VALUE_FUEL_LEVEL_PERCENT,OBD_VALUE_FUEL_LEVEL_PERCENT
OBD_VALUE_SEATBELT_STATE,OBD_VALUE_SEATBELT_STATE
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_BRAKE_AND_TORQUE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_BRAKE_STATE_AND_TORQUE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_BRAKE_PERCENT_AND_ENGINE_LOAD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_BRAKE_STATE_AND_ENGINE_LOAD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_STATE
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_AND_TORQUE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_STATE_AND_TORQUE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_PERCENT_AND_ENGINE_LOAD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_NO_CC_BRAKE_STATE_AND_ENGINE_LOAD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_IGNORE_BRAKE_TORQUE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_COASTING_IGNORE_BRAKE_ENGINE_LOAD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_ACCEL_PEDAL_OVER_THRESHOLD
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_ANTICIPATION_BRAKE_EVENT_BRAKE_PERCENT
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_ANTICIPATION_BRAKE_EVENT_BRAKE_STATE
OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,OBD_VALUE_METHOD_CRUISE_CONTROL_ENABLED_DURATION
OBD_VALUE_AIR_TEMP_MILLIC,OBD_VALUE_AIR_TEMP_MILLIC
OBD_VALUE_BAROMETER_PA,OBD_VALUE_BAROMETER_PA
OBD_VALUE_BATTERY_MILLIV,OBD_VALUE_BATTERY_MILLIV
OBD_VALUE_BATTERY_MILLIV,OBD_VALUE_DERIVED_RETARDER_BRAKING_MS
OBD_VALUE_BATTERY_MILLIV,OBD_VALUE_METHOD_RETARDER_EVENT_RETARDER_ACTIVE_DURATION_BRAKE_PERCENT
OBD_VALUE_COOLANT_TEMP_MILLIC,OBD_VALUE_COOLANT_TEMP_MILLIC
OBD_VALUE_ENGINE_LOAD_PERCENT,OBD_VALUE_ENGINE_LOAD_PERCENT
OBD_VALUE_ENGINE_LOAD_PERCENT,OBD_VALUE_METHOD_FUEL_MAF_CLV
OBD_VALUE_ENGINE_LOAD_PERCENT,OBD_VALUE_METHOD_FUEL_MAP_MAF_CLV
OBD_VALUE_MNFLD_TEMP_MILLIC,OBD_VALUE_MNFLD_TEMP_MILLIC
OBD_VALUE_ENGINE_RPM,OBD_VALUE_ENGINE_RPM
OBD_VALUE_ENGINE_RPM,OBD_VALUE_ENGINE_RPM
OBD_VALUE_ENGINE_RPM,OBD_VALUE_METHOD_FUEL_INJECTION_QUANTITY_PER_STROKE_VOLUME
OBD_VALUE_ENGINE_RPM,OBD_VALUE_METHOD_FUEL_INJECTION_QUANTITY_PER_STROKE_MASS
OBD_VALUE_ENGINE_RPM,OBD_VALUE_METHOD_FUEL_MAP_MAF
