LIC-AG-EUTRLR-ESS-PLTFM-ESS,,"AG52, AG53",
LIC-AG-EUTRLR-ESS-PLTFM-PREM,,"AG52, AG53",
LIC-AG-PWR-BASIC,Global General Availability,AG52,
LIC-AG-PWR-BASIC-PLTFM-ESS,Partial Sales,AG52,
LIC-AG-PWR-BASIC-PLTFM-PREM,Partial Sales,AG52,
LIC-AG-PWR-PLUS,Beta,"AG26, AG53",
LIC-AG-PWR-PLUS-PLTFM-ESS,Partial Sales,"AG26, AG53",
LIC-AG-PWR-PLUS-PLTFM-PREM,Partial Sales,"AG26, AG53",
LIC-AG-PWR-REEFER,Beta,"AG52, AG53",
LIC-AG-PWR-REEFER-KIT-PLTFM-ESS,,"AG52, AG53",
LIC-AG-PWR-REEFER-KIT-PLTFM-PREM,,"AG52, AG53",
LIC-AG-PWR-REEFER-PLTFM-ESS,,"AG52, AG53",
LIC-AG-PWR-REEFER-PLTFM-PREM,,"AG52, AG53",
LIC-AG-TRLR-ESS-PLTFM-ESS,,"AG52, AG53",
LIC-AG-TRLR-ESS-PLTFM-PREM,,"AG52, AG53",
LIC-AG-TRLR-PREM-KIT-PLTFM-ESS,,"AG52, AG53",
LIC-AG-TRLR-PREM-KIT-PLTFM-PREM,,"AG52, AG53",
LIC-AG-TRLR-PREM-PLTFM-ESS,,"AG52, AG53",
LIC-AG-TRLR-PREM-PLTFM-PREM,,"AG52, AG53",
LIC-AG-UNPWR,Global General Availability,AG51,
LIC-AG-UNPWR-PLTFM-ESS,Partial Sales,AG51,
LIC-AG-UNPWR-PLTFM-PREM,Partial Sales,AG51,
LIC-AG2-ENT,Global General Availability,AG26,
LIC-AG2-ENT-PLTFM-ESS,Partial Sales,AG26,
LIC-AG2-ENT-PLTFM-PREM,Partial Sales,AG26,
LIC-AT-TAG,,AT11,
LIC-CM-AHD1,Global General Availability,CM-AHD1,
LIC-CM-AHD4,Beta,CM-AHD4,
LIC-CM-D-ENT-EXPANSION,,N/A,
LIC-CM-D-ENT-PLTFM-ESS,Partial Sales,"CM32, CM34",
LIC-CM-D-ENT-PLTFM-PREM,Partial Sales,"CM32, CM34",
LIC-CM-D-ESS-PLTFM-ESS,Partial Sales,"CM32, CM34",
LIC-CM-D-ESS-PLTFM-PREM,Partial Sales,"CM32, CM34",
LIC-CM-D-PREM-PLTFM-ESS,Partial Sales,"CM32, CM34",
LIC-CM-D-PREM-PLTFM-PREM,Partial Sales,"CM32, CM34",
LIC-CM-S-ENT-EXPANSION,,N/A,
LIC-CM-S-ENT-PLTFM-ESS,Partial Sales,"CM31, CM33",
LIC-CM-S-ENT-PLTFM-PREM,Partial Sales,"CM31, CM33",
LIC-CM-S-ESS-PLTFM-ESS,Partial Sales,"CM31, CM33",
LIC-CM-S-ESS-PLTFM-PREM,Partial Sales,"CM31, CM33",
LIC-CM-S-PREM-PLTFM-ESS,Partial Sales,"CM31, CM33",
LIC-CM-S-PREM-PLTFM-PREM,Partial Sales,"CM31, CM33",
LIC-CM-STRM,Global General Availability,N/A,
LIC-CM1-ENT,Global General Availability,"CM31, CM33",
LIC-CM1-PRO,,N/A,
LIC-CM2-ENT,Global General Availability,"CM32, CM34",
LIC-CM2-PRO,,N/A,
LIC-CRGO-ENT,Global General Availability,N/A,ACC-CRGO
LIC-DM11-ENT,Global General Availability,N/A,ACC-DM11
LIC-EI-A,Global General Availability,N/A,ACC-EI
LIC-EI-SEC,Global General Availability,N/A,ACC-EI
LIC-EM-ENT,Global General Availability,N/A,HW-EM*
LIC-EUTRLR-ESS,,AG53,
LIC-FORMS-ESS,Partial Sales,N/A,
LIC-FORMS-ESS-PLTFM-ESS,,N/A,
LIC-FORMS-ESS-PLTFM-PREM,,N/A,
LIC-FORMS-PREM,Partial Sales,N/A,
LIC-FORMS-PREM-PLTFM-ESS,,N/A,
LIC-FORMS-PREM-PLTFM-PREM,,N/A,
LIC-MEM-ENT,Global General Availability,N/A,
LIC-OEM-CARRIER-1WAY,Partial Sales,N/A,
LIC-OEM-CARRIER-2WAY,Partial Sales,N/A,
LIC-OEM-CAS,Partial Sales,N/A,
LIC-OEM-CAT,Global General Availability,N/A,
LIC-OEM-FORD,Global General Availability,N/A,
LIC-OEM-FORD-ESS-PLTFM-ESS,,N/A,
LIC-OEM-FORD-ESS-PLTFM-PREM,,N/A,
LIC-OEM-FORD-PREM-PLTFM-ESS,,N/A,
LIC-OEM-FORD-PREM-PLTFM-PREM,,N/A,
LIC-OEM-FORD-PUBSEC-PLTFM-ESS,,N/A,
LIC-OEM-FORD-PUBSEC-PLTFM-PREM,,N/A,
LIC-OEM-GM,Global General Availability,N/A,
LIC-OEM-GM-ESS-PLTFM-ESS,,N/A,
LIC-OEM-GM-ESS-PLTFM-PREM,,N/A,
LIC-OEM-GM-PREM-PLTFM-ESS,,N/A,
LIC-OEM-GM-PREM-PLTFM-PREM,,N/A,
LIC-OEM-GM-PUBSEC-PLTFM-ESS,,N/A,
LIC-OEM-GM-PUBSEC-PLTFM-PREM,,N/A,
LIC-OEM-JD,Global General Availability,N/A,
LIC-OEM-KOM,Global General Availability,N/A,
LIC-OEM-NVI,Global General Availability,N/A,
LIC-OEM-NVI-ESS-PLTFM-ESS,,N/A,
LIC-OEM-NVI-ESS-PLTFM-PREM,,N/A,
LIC-OEM-NVI-PREM-PLTFM-ESS,,N/A,
LIC-OEM-NVI-PREM-PLTFM-PREM,,N/A,
LIC-OEM-NVI-PUBSEC-PLTFM-ESS,,N/A,
LIC-OEM-NVI-PUBSEC-PLTFM-PREM,,N/A,
LIC-OEM-STELLANTIS,Global General Availability,N/A,
LIC-OEM-STLA-ESS-PLTFM-ESS,,N/A,
LIC-OEM-STLA-ESS-PLTFM-PREM,,N/A,
LIC-OEM-STLA-PREM-PLTFM-ESS,,N/A,
LIC-OEM-STLA-PREM-PLTFM-PREM,,N/A,
LIC-OEM-STLA-PUBSEC-PLTFM-ESS,,N/A,
LIC-OEM-STLA-PUBSEC-PLTFM-PREM,,N/A,
LIC-OEM-TK-1WAY,Global General Availability,N/A,
LIC-OEM-TK-2WAY,Global General Availability,N/A,
LIC-OEM-VCT,Partial Sales,N/A,
LIC-OEM-VER,Partial Sales,N/A,
LIC-PLTFM-API,,N/A,
LIC-PLTFM-PRO,,N/A,
LIC-SC-CELL,Global General Availability,,
LIC-SC1,Global General Availability,N/A,
LIC-SC1-PLTFM-ESS,Partial Sales,N/A,
LIC-SC1-PLTFM-PREM,Partial Sales,N/A,
LIC-SC11,Global General Availability,SC11,
LIC-SC11-PLTFM-ESS,Partial Sales,SC11,
LIC-SC11-PLTFM-PREM,Partial Sales,SC11,
LIC-SC21,Global General Availability,SC21,
LIC-SC21-PLTFM-ESS,Partial Sales,SC21,
LIC-SC21-PLTFM-PREM,Partial Sales,SC21,
LIC-SG1-G,Global General Availability,SG1-G,
LIC-SG1-G-PLTFM-ESS,Partial Sales,SG1-G,
LIC-SG1-G-PLTFM-PREM,Partial Sales,SG1-G,
LIC-SG1X,,SG1X,
LIC-SG1X-PLTFM-ESS,Partial Sales,SG1X,
LIC-SG1X-PLTFM-PREM,Partial Sales,SG1X,
LIC-SVC-CM-REVIEW-ENT,,N/A,
LIC-TRAINING,,N/A,
LIC-TRAINING-PLTFM-ESS,,N/A,
LIC-TRAINING-PLTFM-PREM,,N/A,
LIC-TRLR-ESS,Global General Availability,"AG52, AG53",
LIC-TRLR-ESS-PRO,,N/A,
LIC-TRLR-PREM,Global General Availability,"AG52, AG53",
LIC-TRLR-PREM-PRO,,N/A,
LIC-VG-ENT,Global General Availability,"VG34, VG54, VG55",
