air_temp_milli_c,OBD_VALUE_AIR_TEMP_MILLIC,
at1_dpf_soot_load_percent,OBD_VALUE_AT1DPF_SOOT_LOAD_PERCENT,
battery_milli_v,OBD_VALUE_BATTERY_MILLIV,
can_connected,,We don't promote
coasting_time_torque_based_ignoring_brake,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
coasting_time_torque_based_ignoring_brake,OBD_VALUE_ENGINE_LOAD_AT_CURRENT_SPEED_PERCENT,
coasting_time_torque_based_ignoring_brake,OBD_VALUE_ENGINE_TORQUE_PERCENT,
coasting_time_torque_based_ignoring_brake,OBD_VALUE_SPEED_KM_PER_HOUR,
coolant_temp_milli_c,OBD_VALUE_COOLANT_TEMP_MILLIC,
def_tank_level_milli_percent,OBD_VALUE_DEF_LEVEL_MILLIPERCENT,
delta_accel_engine_torque_over_limit,OBD_VALUE_ENGINE_LOAD_AT_CURRENT_SPEED_PERCENT,
delta_accel_engine_torque_over_limit,OBD_VALUE_ENGINE_TORQUE_PERCENT,
delta_accel_engine_torque_over_limit_while_not_on_cruise_control,OBD_VALUE_ENGINE_LOAD_AT_CURRENT_SPEED_PERCENT,
delta_accel_engine_torque_over_limit_while_not_on_cruise_control,OBD_VALUE_ENGINE_TORQUE_PERCENT,
delta_accel_engine_torque_over_limit_while_not_on_cruise_control,OBD_VALUE_CRUISE_CONTROL_ACTIVE,
delta_accelerator_pedal_time_greater_than_95_percent,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_anticipation_brake_events,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_anticipation_brake_events,OBD_VALUE_BRAKE_PEDAL_DECIPERCENT,
delta_anticipation_brake_events,OBD_VALUE_BRAKE_STATE,
delta_brake_events,OBD_VALUE_BRAKE_PEDAL_DECIPERCENT,
delta_brake_events,OBD_VALUE_BRAKE_STATE,
delta_coasting_time,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_coasting_time,OBD_VALUE_BRAKE_PEDAL_DECIPERCENT,
delta_coasting_time,OBD_VALUE_BRAKE_STATE,
delta_coasting_time,OBD_VALUE_ENGINE_LOAD_AT_CURRENT_SPEED_PERCENT,
delta_coasting_time,OBD_VALUE_ENGINE_TORQUE_PERCENT,
delta_coasting_time,OBD_VALUE_SPEED_KM_PER_HOUR,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_BRAKE_PEDAL_DECIPERCENT,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_BRAKE_STATE,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_CRUISE_CONTROL_ACTIVE,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_ENGINE_LOAD_AT_CURRENT_SPEED_PERCENT,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_ENGINE_TORQUE_PERCENT,
delta_coasting_time_torque_based_while_not_on_cruise_control,OBD_VALUE_SPEED_KM_PER_HOUR,
delta_coasting_time_while_not_on_cruise_control,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_coasting_time_while_not_on_cruise_control,OBD_VALUE_BRAKE_PEDAL_DECIPERCENT,
delta_coasting_time_while_not_on_cruise_control,OBD_VALUE_BRAKE_STATE,
delta_coasting_time_while_not_on_cruise_control,OBD_VALUE_CRUISE_CONTROL_ACTIVE,
