product_area,sub_product_area,signal_name,default_priority,metric_name,type,definition_table,value_min,value_max,delta_min,delta_max,delta_velocity_min,delta_velocity_max,documentation_link,obd_value,metric_table,metric_column,exported_to_data_lake,is_applicable_ice,is_applicable_hydrogen,is_applicable_hybrid,is_applicable_phev,is_applicable_bev,is_applicable_unknown
Vehicle Diagnostics,General Information,Air Temperature,3,air_temp_milli_c,air_temp_milli_c,,-272984.375000,1734953.125000,,,,,,16,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.air_temp_milli_c,True,True,True,True,True,False,False
Vehicle Diagnostics,Maintenance,12V Battery Voltage - Diagnostic,1000,battery_milli_v,battery_milli_v,,0.000000,3276725.000000,,,,,,18,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.battery_milli_v,True,True,True,True,True,True,True
Vehicle Diagnostics,General Information,Engine Coolant Temperature,3,coolant_temp_milli_c,coolant_temp_milli_c,,-39500.000000,214500.000000,,,,,,19,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.coolant_temp_milli_c,True,True,False,True,True,False,False
Vehicle Diagnostics,General Information,Engine Load,3,engine_load_percent,engine_load_percent,,0.000000,127.250000,,,,,,20,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.engine_load_percent,True,True,True,True,True,False,False
Vehicle Diagnostics,General Information,Engine RPM,3,engine_rpm,engine_rpm,,0.000000,16383.625000,,,,,,22,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.engine_rpm,True,True,True,True,True,False,False
Vehicle Diagnostics,Fuel and Energy,Fuel Level,1,fuel_level_percent,fuel_level_percent,,0.000000,100.000000,-10.000000,10.000000,,,https://samsara.atlassian-us-gov-mod.net/wiki/spaces/RD/pages/4621773/VDP+Fuel+Consumption,5,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.fuel_level_percent,True,True,True,True,True,False,False
Vehicle Diagnostics,General Information,Oil Pressure,3,oil_pressure_k_pa,oil_pressure_k_pa,,0.000000,998.000000,,,,,,151,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.oil_pressure_k_pa,True,True,False,True,True,False,False
Vehicle Diagnostics,Tire Pressure Monitoring,Tire Pressure Back Left,3,tire_pressure_back_left_k_pa,tire_pressure_back_left_k_pa,,,,,,,,,25,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.tire_pressure_back_left_k_pa,True,True,True,True,True,True,True
Vehicle Diagnostics,Tire Pressure Monitoring,Tire Pressure Back Right,3,tire_pressure_back_right_k_pa,tire_pressure_back_right_k_pa,,,,,,,,,26,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.tire_pressure_back_right_k_pa,True,True,True,True,True,True,True
Vehicle Diagnostics,Tire Pressure Monitoring,Tire Pressure Front Left,3,tire_pressure_front_left_k_pa,tire_pressure_front_left_k_pa,,,,,,,,,23,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.tire_pressure_front_left_k_pa,True,True,True,True,True,True,True
Vehicle Diagnostics,Tire Pressure Monitoring,Tire Pressure Front Right,3,tire_pressure_front_right_k_pa,tire_pressure_front_right_k_pa,,,,,,,,,24,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.tire_pressure_front_right_k_pa,True,True,True,True,True,True,True
Vehicle Diagnostics,General Information,Manifold Temperature,50,manifold_temp_milli_c,manifold_temp_milli_c,,-39500.000000,214500.000000,,,,,,21,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.mnfld_temp_milli_c,True,True,True,True,True,False,False
Vehicle Diagnostics,General Information,Engine Time Since Ignition,50,engine_on_secs,engine_on_secs,,0.500000,65534.500000,,,,,,52,kinesisstats.osdenginegauge,value.proto_value.engine_gauge_event.engine_on_secs,True,True,True,True,True,True,True
Vehicle Diagnostics,General Information,Soot Load,3,at1_dpf_soot_load_percent,at1_dpf_soot_load_percent,,0.000000,250.000000,,,,,,,kinesisstats.osdat1dpfsootloadpercent,value.int_value,True,True,True,True,True,False,False
Vehicle Diagnostics,Eco Driving,Coasting - Torque Based,1,coasting_time_torque_based_ignoring_brake,coasting_time_torque_based_ignoring_brake,,0.000000,600000.000000,,,,,https://samsara.atlassian-us-gov-mod.net/wiki/spaces/RD/pages/5818493/VDP+EcoDriving,,kinesisstats.osdcoastingtimetorquebasedignoringbrakems,value.int_value,True,True,False,False,False,False,False
Vehicle Diagnostics,Maintenance,Diesel Exhaust Fluid Level,1,def_tank_level_milli_percent,def_tank_level_milli_percent,,400.000000,100000.000000,0.000000,10000.000000,,,,,kinesisstats.osddeftanklevelmillipercent,value.int_value,True,True,False,False,False,False,False
